fk_cliente;fk_produto;fk_vendedor;fk_data_pedido;unidades_vendidas;preco_unitario;desconto_percentual;cod_pedido
29994;726;282;31/05/2011;1;183.94;0;SO43662
29994;733;282;31/05/2011;1;356.90;0;SO43662
29994;738;282;31/05/2011;1;178.58;0;SO43662
29994;766;282;31/05/2011;3;419.46;0;SO43662
29994;755;282;31/05/2011;1;874.79;0;SO43662
29565;760;276;31/05/2011;1;419.46;0;SO43663
29898;772;280;31/05/2011;1;2039.99;0;SO43664
29898;775;280;31/05/2011;4;2024.99;0;SO43664
29898;714;280;31/05/2011;1;28.84;0;SO43664
29898;716;280;31/05/2011;1;28.84;0;SO43664
29898;777;280;31/05/2011;2;2024.99;0;SO43664
29898;771;280;31/05/2011;3;2039.99;0;SO43664
29898;773;280;31/05/2011;1;2039.99;0;SO43664
29898;778;280;31/05/2011;1;2024.99;0;SO43664
29580;711;283;31/05/2011;2;20.19;0;SO43665
29580;773;283;31/05/2011;1;2039.99;0;SO43665
29580;707;283;31/05/2011;1;20.19;0;SO43665
29580;715;283;31/05/2011;2;28.84;0;SO43665
29580;777;283;31/05/2011;2;2024.99;0;SO43665
29580;712;283;31/05/2011;2;5.19;0;SO43665
29580;775;283;31/05/2011;2;2024.99;0;SO43665
29580;778;283;31/05/2011;1;2024.99;0;SO43665
29580;709;283;31/05/2011;6;5.70;0;SO43665
29580;776;283;31/05/2011;1;2024.99;0;SO43665
30052;764;276;31/05/2011;1;419.46;0;SO43666
30052;753;276;31/05/2011;1;2146.96;0;SO43666
30052;732;276;31/05/2011;1;356.90;0;SO43666
30052;756;276;31/05/2011;1;874.79;0;SO43666
30052;768;276;31/05/2011;2;419.46;0;SO43666
30052;766;276;31/05/2011;1;419.46;0;SO43666
29974;710;277;31/05/2011;3;5.70;0;SO43667
29974;773;277;31/05/2011;1;2039.99;0;SO43667
29974;778;277;31/05/2011;1;2024.99;0;SO43667
29974;775;277;31/05/2011;1;2024.99;0;SO43667
29614;756;282;31/05/2011;3;874.79;0;SO43668
29614;753;282;31/05/2011;2;2146.96;0;SO43668
29614;760;282;31/05/2011;7;419.46;0;SO43668
29614;765;282;31/05/2011;6;419.46;0;SO43668
29614;715;282;31/05/2011;6;28.84;0;SO43668
29614;730;282;31/05/2011;6;183.94;0;SO43668
29614;707;282;31/05/2011;2;20.19;0;SO43668
29614;711;282;31/05/2011;2;20.19;0;SO43668
29614;754;282;31/05/2011;2;874.79;0;SO43668
29614;712;282;31/05/2011;4;5.19;0;SO43668
29614;729;282;31/05/2011;2;183.94;0;SO43668
29614;755;282;31/05/2011;3;874.79;0;SO43668
29614;761;282;31/05/2011;3;419.46;0;SO43668
29614;770;282;31/05/2011;2;419.46;0;SO43668
29614;726;282;31/05/2011;3;183.94;0;SO43668
29614;764;282;31/05/2011;2;419.46;0;SO43668
29614;766;282;31/05/2011;2;419.46;0;SO43668
29614;725;282;31/05/2011;2;183.94;0;SO43668
29614;716;282;31/05/2011;1;28.84;0;SO43668
29614;768;282;31/05/2011;2;419.46;0;SO43668
29614;732;282;31/05/2011;4;356.90;0;SO43668
29614;758;282;31/05/2011;6;874.79;0;SO43668
29614;762;282;31/05/2011;4;419.46;0;SO43668
29614;738;282;31/05/2011;3;178.58;0;SO43668
29614;714;282;31/05/2011;4;28.84;0;SO43668
29614;722;282;31/05/2011;3;178.58;0;SO43668
29614;708;282;31/05/2011;1;20.19;0;SO43668
29614;733;282;31/05/2011;3;356.90;0;SO43668
29614;763;282;31/05/2011;3;419.46;0;SO43668
29747;747;283;31/05/2011;1;714.70;0;SO43669
29566;710;275;31/05/2011;1;5.70;0;SO43670
29566;709;275;31/05/2011;2;5.70;0;SO43670
29566;773;275;31/05/2011;2;2039.99;0;SO43670
29566;776;275;31/05/2011;1;2024.99;0;SO43670
29890;753;283;31/05/2011;1;2146.96;0;SO43671
29890;714;283;31/05/2011;2;28.84;0;SO43671
29890;756;283;31/05/2011;1;874.79;0;SO43671
29890;768;283;31/05/2011;2;419.46;0;SO43671
29890;732;283;31/05/2011;2;356.90;0;SO43671
29890;763;283;31/05/2011;2;419.46;0;SO43671
29890;755;283;31/05/2011;2;874.79;0;SO43671
29890;764;283;31/05/2011;2;419.46;0;SO43671
29890;716;283;31/05/2011;1;28.84;0;SO43671
29890;711;283;31/05/2011;1;20.19;0;SO43671
29890;708;283;31/05/2011;1;20.19;0;SO43671
30067;709;282;31/05/2011;6;5.70;0;SO43672
30067;776;282;31/05/2011;2;2024.99;0;SO43672
30067;774;282;31/05/2011;1;2039.99;0;SO43672
29844;754;275;31/05/2011;1;874.79;0;SO43673
29844;715;275;31/05/2011;3;28.84;0;SO43673
29844;729;275;31/05/2011;1;183.94;0;SO43673
29844;761;275;31/05/2011;2;419.46;0;SO43673
29844;762;275;31/05/2011;1;419.46;0;SO43673
29844;738;275;31/05/2011;2;178.58;0;SO43673
29844;770;275;31/05/2011;2;419.46;0;SO43673
29844;712;275;31/05/2011;1;5.19;0;SO43673
29844;708;275;31/05/2011;2;20.19;0;SO43673
29844;711;275;31/05/2011;1;20.19;0;SO43673
29844;707;275;31/05/2011;4;20.19;0;SO43673
29596;758;282;31/05/2011;3;874.79;0;SO43674
29827;761;277;31/05/2011;4;419.46;0;SO43675
29827;711;277;31/05/2011;5;20.19;0;SO43675
29827;738;277;31/05/2011;2;178.58;0;SO43675
29827;708;277;31/05/2011;1;20.19;0;SO43675
29827;762;277;31/05/2011;2;419.46;0;SO43675
29827;758;277;31/05/2011;2;874.79;0;SO43675
29827;712;277;31/05/2011;2;5.19;0;SO43675
29827;754;277;31/05/2011;1;874.79;0;SO43675
29827;715;277;31/05/2011;3;28.84;0;SO43675
29811;776;275;31/05/2011;2;2024.99;0;SO43676
29811;778;275;31/05/2011;2;2024.99;0;SO43676
29811;710;275;31/05/2011;1;5.70;0;SO43676
29811;775;275;31/05/2011;3;2024.99;0;SO43676
29811;709;275;31/05/2011;4;5.70;0;SO43676
29824;715;278;31/05/2011;3;28.84;0;SO43677
29824;753;278;31/05/2011;1;2146.96;0;SO43677
29824;758;278;31/05/2011;1;874.79;0;SO43677
29824;770;278;31/05/2011;1;419.46;0;SO43677
29824;708;278;31/05/2011;2;20.19;0;SO43677
29824;760;278;31/05/2011;4;419.46;0;SO43677
29824;765;278;31/05/2011;2;419.46;0;SO43677
29824;763;278;31/05/2011;1;419.46;0;SO43677
29824;712;278;31/05/2011;5;5.19;0;SO43677
29824;707;278;31/05/2011;1;20.19;0;SO43677
29824;754;278;31/05/2011;1;874.79;0;SO43677
29824;729;278;31/05/2011;2;183.94;0;SO43677
29889;760;281;31/05/2011;1;419.46;0;SO43678
29889;738;281;31/05/2011;2;178.58;0;SO43678
29889;765;281;31/05/2011;1;419.46;0;SO43678
29889;732;281;31/05/2011;2;356.90;0;SO43678
29889;762;281;31/05/2011;3;419.46;0;SO43678
29889;761;281;31/05/2011;2;419.46;0;SO43678
29889;712;281;31/05/2011;3;5.19;0;SO43678
29889;708;281;31/05/2011;4;20.19;0;SO43678
29889;729;281;31/05/2011;2;183.94;0;SO43678
29889;756;281;31/05/2011;1;874.79;0;SO43678
29889;725;281;31/05/2011;2;183.94;0;SO43678
29889;716;281;31/05/2011;1;28.84;0;SO43678
29889;770;281;31/05/2011;1;419.46;0;SO43678
29889;758;281;31/05/2011;2;874.79;0;SO43678
29889;715;281;31/05/2011;2;28.84;0;SO43678
29889;754;281;31/05/2011;1;874.79;0;SO43678
29889;755;281;31/05/2011;1;874.79;0;SO43678
29889;711;281;31/05/2011;3;20.19;0;SO43678
29889;707;281;31/05/2011;1;20.19;0;SO43678
29761;760;278;31/05/2011;1;419.46;0;SO43679
29761;770;278;31/05/2011;2;419.46;0;SO43679
29761;715;278;31/05/2011;2;28.84;0;SO43679
29489;760;281;31/05/2011;3;419.46;0;SO43680
29489;756;281;31/05/2011;2;874.79;0;SO43680
29489;738;281;31/05/2011;2;178.58;0;SO43680
29489;707;281;31/05/2011;4;20.19;0;SO43680
29489;729;281;31/05/2011;1;183.94;0;SO43680
29489;711;281;31/05/2011;1;20.19;0;SO43680
29489;715;281;31/05/2011;2;28.84;0;SO43680
29489;725;281;31/05/2011;2;183.94;0;SO43680
29489;758;281;31/05/2011;1;874.79;0;SO43680
29489;761;281;31/05/2011;1;419.46;0;SO43680
29489;753;281;31/05/2011;2;2146.96;0;SO43680
29489;708;281;31/05/2011;2;20.19;0;SO43680
29489;765;281;31/05/2011;3;419.46;0;SO43680
29489;712;281;31/05/2011;3;5.19;0;SO43680
29489;763;281;31/05/2011;1;419.46;0;SO43680
29661;715;279;31/05/2011;6;28.84;0;SO43681
29661;762;279;31/05/2011;5;419.46;0;SO43681
29661;732;279;31/05/2011;1;356.90;0;SO43681
29661;707;279;31/05/2011;1;20.19;0;SO43681
29661;729;279;31/05/2011;1;183.94;0;SO43681
29661;708;279;31/05/2011;2;20.19;0;SO43681
29661;770;279;31/05/2011;3;419.46;0;SO43681
29661;730;279;31/05/2011;2;183.94;0;SO43681
29661;758;279;31/05/2011;3;874.79;0;SO43681
29661;768;279;31/05/2011;1;419.46;0;SO43681
29661;761;279;31/05/2011;2;419.46;0;SO43681
29661;738;279;31/05/2011;2;178.58;0;SO43681
29661;753;279;31/05/2011;1;2146.96;0;SO43681
29661;714;279;31/05/2011;2;28.84;0;SO43681
29661;764;279;31/05/2011;2;419.46;0;SO43681
29661;760;279;31/05/2011;2;419.46;0;SO43681
29661;756;279;31/05/2011;1;874.79;0;SO43681
29661;716;279;31/05/2011;2;28.84;0;SO43681
29661;711;279;31/05/2011;2;20.19;0;SO43681
29661;725;279;31/05/2011;1;183.94;0;SO43681
29661;712;279;31/05/2011;2;5.19;0;SO43681
29759;758;275;31/05/2011;2;874.79;0;SO43682
29759;762;275;31/05/2011;1;419.46;0;SO43682
29759;760;275;31/05/2011;2;419.46;0;SO43682
29759;770;275;31/05/2011;2;419.46;0;SO43682
29759;715;275;31/05/2011;1;28.84;0;SO43682
29497;776;283;31/05/2011;2;2024.99;0;SO43683
29497;715;283;31/05/2011;2;28.84;0;SO43683
29497;773;283;31/05/2011;2;2039.99;0;SO43683
29497;774;283;31/05/2011;1;2039.99;0;SO43683
29497;708;283;31/05/2011;1;20.19;0;SO43683
29497;711;283;31/05/2011;2;20.19;0;SO43683
29497;712;283;31/05/2011;3;5.19;0;SO43683
29497;775;283;31/05/2011;4;2024.99;0;SO43683
29497;777;283;31/05/2011;6;2024.99;0;SO43683
29497;772;283;31/05/2011;1;2039.99;0;SO43683
29497;707;283;31/05/2011;3;20.19;0;SO43683
29497;778;283;31/05/2011;5;2024.99;0;SO43683
29497;709;283;31/05/2011;6;5.70;0;SO43683
29912;754;279;31/05/2011;2;874.79;0;SO43684
29912;762;279;31/05/2011;2;419.46;0;SO43684
29912;760;279;31/05/2011;1;419.46;0;SO43684
29912;758;279;31/05/2011;2;874.79;0;SO43684
29912;770;279;31/05/2011;1;419.46;0;SO43684
29912;763;279;31/05/2011;1;419.46;0;SO43684
30084;765;279;31/05/2011;3;419.46;0;SO43685
30084;763;279;31/05/2011;1;419.46;0;SO43685
30084;754;279;31/05/2011;1;874.79;0;SO43685
30084;725;279;31/05/2011;1;183.94;0;SO43685
29606;758;283;31/05/2011;3;874.79;0;SO43686
29606;762;283;31/05/2011;1;419.46;0;SO43686
29606;770;283;31/05/2011;1;419.46;0;SO43686
29610;768;275;31/05/2011;1;419.46;0;SO43687
29610;765;275;31/05/2011;2;419.46;0;SO43687
29718;725;275;31/05/2011;1;183.94;0;SO43688
29718;760;275;31/05/2011;2;419.46;0;SO43688
29718;762;275;31/05/2011;3;419.46;0;SO43688
29718;738;275;31/05/2011;1;178.58;0;SO43688
29718;763;275;31/05/2011;1;419.46;0;SO43688
29718;729;275;31/05/2011;2;183.94;0;SO43688
29718;754;275;31/05/2011;2;874.79;0;SO43688
29718;758;275;31/05/2011;2;874.79;0;SO43688
29718;765;275;31/05/2011;3;419.46;0;SO43688
29718;770;275;31/05/2011;1;419.46;0;SO43688
29718;753;275;31/05/2011;2;2146.96;0;SO43688
29646;764;277;31/05/2011;3;419.46;0;SO43689
29646;738;277;31/05/2011;2;178.58;0;SO43689
29646;725;277;31/05/2011;2;183.94;0;SO43689
29646;753;277;31/05/2011;1;2146.96;0;SO43689
29646;755;277;31/05/2011;2;874.79;0;SO43689
29646;766;277;31/05/2011;4;419.46;0;SO43689
29646;770;277;31/05/2011;2;419.46;0;SO43689
29646;760;277;31/05/2011;7;419.46;0;SO43689
29646;726;277;31/05/2011;3;183.94;0;SO43689
29646;722;277;31/05/2011;1;178.58;0;SO43689
29646;763;277;31/05/2011;6;419.46;0;SO43689
29646;729;277;31/05/2011;2;183.94;0;SO43689
29646;730;277;31/05/2011;2;183.94;0;SO43689
29646;732;277;31/05/2011;2;356.90;0;SO43689
29646;765;277;31/05/2011;5;419.46;0;SO43689
29646;768;277;31/05/2011;2;419.46;0;SO43689
29646;761;277;31/05/2011;2;419.46;0;SO43689
29646;758;277;31/05/2011;3;874.79;0;SO43689
29646;749;277;31/05/2011;2;2146.96;0;SO43689
29646;762;277;31/05/2011;9;419.46;0;SO43689
29646;754;277;31/05/2011;4;874.79;0;SO43689
29533;715;275;31/05/2011;1;28.84;0;SO43690
29533;770;275;31/05/2011;1;419.46;0;SO43690
29533;712;275;31/05/2011;2;5.19;0;SO43690
29533;760;275;31/05/2011;2;419.46;0;SO43690
29570;758;277;31/05/2011;1;874.79;0;SO43691
29992;770;281;31/05/2011;5;419.46;0;SO43692
29992;725;281;31/05/2011;1;183.94;0;SO43692
29992;754;281;31/05/2011;8;874.79;0;SO43692
29992;730;281;31/05/2011;2;183.94;0;SO43692
29992;715;281;31/05/2011;10;28.84;0;SO43692
29992;768;281;31/05/2011;1;419.46;0;SO43692
29992;756;281;31/05/2011;4;874.79;0;SO43692
29992;738;281;31/05/2011;2;178.58;0;SO43692
29992;758;281;31/05/2011;8;874.79;0;SO43692
29992;708;281;31/05/2011;3;20.19;0;SO43692
29992;762;281;31/05/2011;6;419.46;0;SO43692
29992;732;281;31/05/2011;3;356.90;0;SO43692
29992;712;281;31/05/2011;6;5.19;0;SO43692
29992;714;281;31/05/2011;4;28.84;0;SO43692
29992;760;281;31/05/2011;7;419.46;0;SO43692
29992;755;281;31/05/2011;2;874.79;0;SO43692
29992;716;281;31/05/2011;4;28.84;0;SO43692
29992;765;281;31/05/2011;2;419.46;0;SO43692
29992;764;281;31/05/2011;1;419.46;0;SO43692
29992;753;281;31/05/2011;2;2146.96;0;SO43692
29992;766;281;31/05/2011;1;419.46;0;SO43692
29992;722;281;31/05/2011;1;178.58;0;SO43692
29992;761;281;31/05/2011;3;419.46;0;SO43692
29992;711;281;31/05/2011;3;20.19;0;SO43692
29992;763;281;31/05/2011;1;419.46;0;SO43692
29992;729;281;31/05/2011;2;183.94;0;SO43692
29992;707;281;31/05/2011;4;20.19;0;SO43692
29992;726;281;31/05/2011;2;183.94;0;SO43692
29491;716;275;31/05/2011;3;28.84;0;SO43693
29491;773;275;31/05/2011;1;2039.99;0;SO43693
29491;709;275;31/05/2011;6;5.70;0;SO43693
29491;707;275;31/05/2011;2;20.19;0;SO43693
29491;771;275;31/05/2011;3;2039.99;0;SO43693
29491;708;275;31/05/2011;2;20.19;0;SO43693
29491;774;275;31/05/2011;1;2039.99;0;SO43693
29491;777;275;31/05/2011;3;2024.99;0;SO43693
29491;772;275;31/05/2011;1;2039.99;0;SO43693
29491;778;275;31/05/2011;1;2024.99;0;SO43693
29549;776;279;31/05/2011;3;2024.99;0;SO43694
29549;771;279;31/05/2011;3;2039.99;0;SO43694
29549;715;279;31/05/2011;2;28.84;0;SO43694
29549;772;279;31/05/2011;1;2039.99;0;SO43694
29549;716;279;31/05/2011;3;28.84;0;SO43694
29549;707;279;31/05/2011;1;20.19;0;SO43694
29549;708;279;31/05/2011;1;20.19;0;SO43694
29549;774;279;31/05/2011;1;2039.99;0;SO43694
29549;773;279;31/05/2011;2;2039.99;0;SO43694
29549;712;279;31/05/2011;1;5.19;0;SO43694
29549;711;279;31/05/2011;5;20.19;0;SO43694
29958;774;279;31/05/2011;2;2039.99;0;SO43695
29958;748;279;31/05/2011;2;722.59;0;SO43695
29958;747;279;31/05/2011;1;714.70;0;SO43695
29958;742;279;31/05/2011;1;722.59;0;SO43695
29958;777;279;31/05/2011;5;2024.99;0;SO43695
29958;778;279;31/05/2011;6;2024.99;0;SO43695
29958;709;279;31/05/2011;2;5.70;0;SO43695
29958;775;279;31/05/2011;5;2024.99;0;SO43695
29849;762;279;31/05/2011;1;419.46;0;SO43696
29955;774;275;01/07/2011;2;2039.99;0;SO43843
29955;778;275;01/07/2011;2;2024.99;0;SO43843
29955;742;275;01/07/2011;2;722.59;0;SO43843
29955;777;275;01/07/2011;5;2024.99;0;SO43843
29955;748;275;01/07/2011;2;722.59;0;SO43843
29955;741;275;01/07/2011;1;818.70;0;SO43843
29955;745;275;01/07/2011;1;809.76;0;SO43843
29955;771;275;01/07/2011;2;2039.99;0;SO43843
29955;709;275;01/07/2011;2;5.70;0;SO43843
29955;776;275;01/07/2011;3;2024.99;0;SO43843
29620;775;282;01/07/2011;4;2024.99;0;SO43844
29620;776;282;01/07/2011;2;2024.99;0;SO43844
29620;777;282;01/07/2011;3;2024.99;0;SO43844
29620;778;282;01/07/2011;1;2024.99;0;SO43844
29888;725;279;01/07/2011;1;183.94;0;SO43845
29888;715;279;01/07/2011;3;28.84;0;SO43845
29888;770;279;01/07/2011;1;419.46;0;SO43845
29888;763;279;01/07/2011;2;419.46;0;SO43845
29888;761;279;01/07/2011;2;419.46;0;SO43845
29888;754;279;01/07/2011;1;874.79;0;SO43845
29888;765;279;01/07/2011;2;419.46;0;SO43845
29888;753;279;01/07/2011;2;2146.96;0;SO43845
29888;729;279;01/07/2011;1;183.94;0;SO43845
29888;712;279;01/07/2011;4;5.19;0;SO43845
29548;729;278;01/07/2011;3;183.94;0;SO43846
29548;712;278;01/07/2011;1;5.19;0;SO43846
29548;738;278;01/07/2011;1;178.58;0;SO43846
29548;725;278;01/07/2011;1;183.94;0;SO43846
29539;715;278;01/07/2011;1;28.84;0;SO43847
29539;712;278;01/07/2011;1;5.19;0;SO43847
29539;758;278;01/07/2011;1;874.79;0;SO43847
29717;773;283;01/07/2011;1;2039.99;0;SO43848
29717;778;283;01/07/2011;1;2024.99;0;SO43848
29717;775;283;01/07/2011;1;2024.99;0;SO43848
29717;776;283;01/07/2011;4;2024.99;0;SO43848
29717;771;283;01/07/2011;2;2039.99;0;SO43848
29818;776;274;01/07/2011;2;2024.99;0;SO43849
29818;714;274;01/07/2011;1;28.84;0;SO43849
29818;777;274;01/07/2011;2;2024.99;0;SO43849
29818;771;274;01/07/2011;2;2039.99;0;SO43849
29818;711;274;01/07/2011;1;20.19;0;SO43849
29818;773;274;01/07/2011;1;2039.99;0;SO43849
29818;715;274;01/07/2011;4;28.84;0;SO43849
29818;772;274;01/07/2011;1;2039.99;0;SO43849
29818;707;274;01/07/2011;1;20.19;0;SO43849
29818;774;274;01/07/2011;2;2039.99;0;SO43849
29818;708;274;01/07/2011;1;20.19;0;SO43849
29892;765;282;01/07/2011;1;419.46;0;SO43850
29892;755;282;01/07/2011;1;874.79;0;SO43850
29892;761;282;01/07/2011;1;419.46;0;SO43850
29892;762;282;01/07/2011;2;419.46;0;SO43850
29892;753;282;01/07/2011;1;2146.96;0;SO43850
29892;725;282;01/07/2011;3;183.94;0;SO43850
29892;729;282;01/07/2011;1;183.94;0;SO43850
29892;758;282;01/07/2011;3;874.79;0;SO43850
29892;756;282;01/07/2011;1;874.79;0;SO43850
29892;732;282;01/07/2011;3;356.90;0;SO43850
29892;738;282;01/07/2011;1;178.58;0;SO43850
29509;761;275;01/07/2011;2;419.46;0;SO43851
29509;760;275;01/07/2011;1;419.46;0;SO43851
29509;711;275;01/07/2011;1;20.19;0;SO43851
29509;770;275;01/07/2011;3;419.46;0;SO43851
29509;707;275;01/07/2011;1;20.19;0;SO43851
29509;725;275;01/07/2011;1;183.94;0;SO43851
29509;754;275;01/07/2011;1;874.79;0;SO43851
29509;738;275;01/07/2011;3;178.58;0;SO43851
29509;753;275;01/07/2011;1;2146.96;0;SO43851
29509;765;275;01/07/2011;1;419.46;0;SO43851
29509;712;275;01/07/2011;1;5.19;0;SO43851
29509;708;275;01/07/2011;3;20.19;0;SO43851
29855;776;282;01/07/2011;1;2024.99;0;SO43852
29813;777;282;01/07/2011;2;2024.99;0;SO43853
29813;773;282;01/07/2011;1;2039.99;0;SO43853
29813;771;282;01/07/2011;1;2039.99;0;SO43853
29813;776;282;01/07/2011;4;2024.99;0;SO43853
29813;775;282;01/07/2011;2;2024.99;0;SO43853
29813;778;282;01/07/2011;3;2024.99;0;SO43853
29988;758;282;01/07/2011;2;874.79;0;SO43854
29946;765;278;01/07/2011;2;419.46;0;SO43855
29946;760;278;01/07/2011;2;419.46;0;SO43855
29946;753;278;01/07/2011;1;2146.96;0;SO43855
29946;761;278;01/07/2011;4;419.46;0;SO43855
29946;738;278;01/07/2011;1;178.58;0;SO43855
29946;762;278;01/07/2011;3;419.46;0;SO43855
29946;732;278;01/07/2011;2;356.90;0;SO43855
29946;766;278;01/07/2011;1;419.46;0;SO43855
29946;726;278;01/07/2011;1;183.94;0;SO43855
29946;770;278;01/07/2011;2;419.46;0;SO43855
29946;725;278;01/07/2011;1;183.94;0;SO43855
29946;755;278;01/07/2011;1;874.79;0;SO43855
29946;768;278;01/07/2011;2;419.46;0;SO43855
29680;709;282;01/07/2011;2;5.70;0;SO43856
29680;777;282;01/07/2011;1;2024.99;0;SO43856
30074;760;282;01/07/2011;1;419.46;0;SO43857
30074;765;282;01/07/2011;1;419.46;0;SO43857
30074;762;282;01/07/2011;2;419.46;0;SO43857
30074;758;282;01/07/2011;3;874.79;0;SO43857
30074;715;282;01/07/2011;1;28.84;0;SO43857
30074;712;282;01/07/2011;3;5.19;0;SO43857
30074;716;282;01/07/2011;1;28.84;0;SO43857
30074;725;282;01/07/2011;1;183.94;0;SO43857
30074;711;282;01/07/2011;2;20.19;0;SO43857
30074;708;282;01/07/2011;1;20.19;0;SO43857
30074;738;282;01/07/2011;2;178.58;0;SO43857
30074;763;282;01/07/2011;1;419.46;0;SO43857
30074;754;282;01/07/2011;2;874.79;0;SO43857
30074;707;282;01/07/2011;2;20.19;0;SO43857
29961;762;275;01/07/2011;2;419.46;0;SO43858
29961;761;275;01/07/2011;2;419.46;0;SO43858
29961;770;275;01/07/2011;5;419.46;0;SO43858
29961;765;275;01/07/2011;1;419.46;0;SO43858
29961;738;275;01/07/2011;2;178.58;0;SO43858
29961;763;275;01/07/2011;3;419.46;0;SO43858
29961;754;275;01/07/2011;2;874.79;0;SO43858
29961;722;275;01/07/2011;1;178.58;0;SO43858
29961;753;275;01/07/2011;2;2146.96;0;SO43858
29961;726;275;01/07/2011;1;183.94;0;SO43858
29961;766;275;01/07/2011;1;419.46;0;SO43858
29961;729;275;01/07/2011;1;183.94;0;SO43858
29961;756;275;01/07/2011;1;874.79;0;SO43858
29865;715;276;01/07/2011;1;28.84;0;SO43859
29865;762;276;01/07/2011;1;419.46;0;SO43859
29865;758;276;01/07/2011;3;874.79;0;SO43859
29865;760;276;01/07/2011;2;419.46;0;SO43859
29773;761;280;01/07/2011;2;419.46;0;SO43860
29773;770;280;01/07/2011;1;419.46;0;SO43860
29773;758;280;01/07/2011;2;874.79;0;SO43860
29773;765;280;01/07/2011;2;419.46;0;SO43860
29773;732;280;01/07/2011;1;356.90;0;SO43860
29773;762;280;01/07/2011;1;419.46;0;SO43860
29773;738;280;01/07/2011;1;178.58;0;SO43860
29773;768;280;01/07/2011;1;419.46;0;SO43860
29773;753;280;01/07/2011;2;2146.96;0;SO43860
29773;729;280;01/07/2011;1;183.94;0;SO43860
29773;763;280;01/07/2011;1;419.46;0;SO43860
29773;756;280;01/07/2011;1;874.79;0;SO43860
29749;732;279;01/07/2011;1;356.90;0;SO43861
29749;764;279;01/07/2011;3;419.46;0;SO43861
29749;770;279;01/07/2011;5;419.46;0;SO43861
29749;768;279;01/07/2011;2;419.46;0;SO43861
29749;725;279;01/07/2011;1;183.94;0;SO43861
29749;715;279;01/07/2011;9;28.84;0;SO43861
29749;765;279;01/07/2011;4;419.46;0;SO43861
29749;753;279;01/07/2011;1;2146.96;0;SO43861
29749;733;279;01/07/2011;2;356.90;0;SO43861
29749;730;279;01/07/2011;2;183.94;0;SO43861
29749;766;279;01/07/2011;2;419.46;0;SO43861
29749;711;279;01/07/2011;4;20.19;0;SO43861
29749;754;279;01/07/2011;3;874.79;0;SO43861
29749;756;279;01/07/2011;2;874.79;0;SO43861
29749;729;279;01/07/2011;2;183.94;0;SO43861
29749;760;279;01/07/2011;4;419.46;0;SO43861
29749;755;279;01/07/2011;2;874.79;0;SO43861
29749;716;279;01/07/2011;6;28.84;0;SO43861
29749;763;279;01/07/2011;2;419.46;0;SO43861
29749;758;279;01/07/2011;2;874.79;0;SO43861
29749;712;279;01/07/2011;9;5.19;0;SO43861
29749;761;279;01/07/2011;2;419.46;0;SO43861
